M 110,00:40.4,+41:41
M 31,00:42.7,+41:16
M 32,00:42.7,+40:52
M 103,01:33.2,+60:42
M 33,01:33.9,+30:39
M 74,01:36.7,+15:47
M 76,01:42.4,+51:34
M 34,02:42.0,+42:47
M 77,02:42.7,-00:01
M 45,03:47.0,+24:07
M 79,05:24.5,-24:33
M 38,05:28.4,+35:50
M 1,05:34.5,+22:01
M 42,05:35.4,-05:27
M 43,05:35.6,-05:16
M 36,05:36.1,+34:08
M 78,05:46.7,+00:03
M 37,05:52.4,+32:33
M 35,06:08.9,+24:20
M 41,06:46.0,-20:44
M 50,07:03.2,-08:20
M 47,07:36.6,-14:30
M 46,07:41.8,-14:49
M 93,07:44.6,-23:52
M 48,08:13.8,-05:48
M 44,08:40.1,+19:59
M 67,08:50.4,+11:49
M 81,09:55.6,+69:04
M 82,09:55.8,+69:41
M 95,10:44.0,+11:42
M 96,10:46.8,+11:49
M 105,10:47.8,+12:35
M 108,11:11.5,+55:40
M 97,11:14.8,+55:01
M 65,11:18.9,+13:05
M 66,11:20.2,+12:59
M 109,11:57.6,+53:23
M 98,12:13.8,+14:54
M 99,12:18.8,+14:25
M 106,12:19.0,+47:18
M 61,12:21.9,+04:28
M 40,12:22.4,+58:05
M 100,12:22.9,+15:49
M 84,12:25.1,+12:53
M 85,12:25.4,+18:11
M 86,12:26.2,+12:57
M 49,12:29.8,+08:00
M 87,12:30.8,+12:24
M 88,12:32.0,+14:25
M 91,12:35.4,+14:30
M 89,12:35.7,+12:33
M 90,12:36.8,+13:10
M 58,12:37.7,+11:49
M 68,12:39.5,-26:45
M 104,12:40.0,-11:37
M 59,12:42.0,+11:39
M 60,12:43.7,+11:33
M 94,12:50.9,+41:07
M 64,12:56.7,+21:41
M 53,13:12.9,+18:10
M 63,13:15.8,+42:02
M 51,13:29.9,+47:12
M 83,13:37.0,-29:52
M 3,13:42.2,+28:23
M 101,14:03.2,+54:21
M 102,15:06.5,+55:46
M 5,15:18.6,+02:05
M 80,16:17.0,-22:59
M 4,16:23.6,-26:32
M 107,16:32.5,-13:03
M 13,16:41.7,+36:28
M 12,16:47.2,-01:57
M 10,16:57.1,-04:06
M 62,17:01.2,-30:07
M 19,17:02.6,-26:16
M 92,17:17.1,+43:08
M 9,17:19.2,-18:31
M 14,17:37.6,-03:15
M 6,17:40.1,-32:13
M 7,17:53.9,-34:49
M 23,17:56.8,-19:01
M 20,18:02.6,-23:02
M 8,18:03.8,-24:23
M 21,18:04.6,-22:30
M 24,18:16.9,-18:29
M 16,18:18.8,-13:47
M 18,18:19.9,-17:08
M 17,18:20.8,-16:11
M 28,18:24.5,-24:52
M 69,18:31.4,-32:21
M 25,18:31.6,-19:15
M 22,18:36.4,-23:54
M 70,18:43.2,-32:18
M 26,18:45.2,-09:24
M 11,18:51.1,-06:16
M 57,18:53.6,+33:02
M 54,18:55.1,-30:29
M 56,19:16.6,+30:11
M 55,19:40.0,-30:58
M 71,19:53.8,+18:47
M 27,19:59.6,+22:43
M 75,20:06.1,-21:55
M 29,20:23.9,+38:32
M 72,20:53.5,-12:32
M 73,20:58.9,-12:38
M 15,21:30.0,+12:10
M 39,21:32.2,+48:26
M 2,21:33.5,-00:49
M 30,21:40.4,-23:11
M 52,23:24.2,+61:35
